"depart","vars","n","mean_delay","sd_delay","median_delay","trimmed_mean_delay","mad_delay","min_delay","max_delay","range_delay","skew_delay","kurtosis_delay","se_delay","origin_icao","variable","rate","punc"
"SBDN",4,22905,6.76428727352107,25.060693342596,0,1.27847203274216,0,0,1255,1255,12.0963743540768,360.9445396598,0.165587646743516,"SBDN","departure_delay",6.76428727352107,0.871294477188387
"SBEG",9,219680,15.6403268390386,69.5588301187163,0,3.84771030589949,0,0,1440,1440,12.512732894973,203.636893454327,0.148407896394184,"SBEG","departure_delay",15.6403268390386,0.80001365622724
"SBFI",7,109050,7.92067858780376,26.925822140351,0,1.57181338835397,0,0,810,810,6.79087254262018,72.5159493500837,0.0815372646082548,"SBFI","departure_delay",7.92067858780376,0.86162310866575
"SBFL",9,266165,8.23605658144384,28.4711060187096,0,1.9601470885208,0,0,1440,1440,11.5960672153997,318.2645086792,0.0551859934910071,"SBFL","departure_delay",8.23605658144384,0.848293351868202
"SBFN",5,29168,8.55050054854635,31.5077616014186,0,1.56783510455948,0,0,808,808,8.48040969535648,117.399409753607,0.184486344289081,"SBFN","departure_delay",8.55050054854635,0.864131925397696
"SBFZ",9,386240,8.40930250621376,34.5172329404011,0,1.94996634217067,0,0,1440,1440,19.3234989813621,652.344248136287,0.0555401884754577,"SBFZ","departure_delay",8.40930250621376,0.848793496271748
"SBGL",10,781251,10.9071693988232,34.3046446124785,0,3.64997656003752,0,0,1440,1440,13.5145993362644,402.352112733397,0.0388112500914928,"SBGL","departure_delay",10.9071693988232,0.802706172536099
"SBGO",8,217018,7.61170962777281,27.5801407074228,0,1.69912911252419,0,0,1432,1432,12.8645523636529,369.347644108802,0.0592036658983067,"SBGO","departure_delay",7.61170962777281,0.858329723801712
"SBGR",10,1312059,11.4768200210509,40.2700206479787,0,4.2050780784815,0,0,1440,1440,17.4769429954721,509.066404483836,0.0351564625641692,"SBGR","departure_delay",11.4768200210509,0.790632890746529
"SBHT",3,22608,10.5372434536447,39.6764408715561,0,1.97385006634233,0,0,812,812,8.15845950809231,94.7565031139806,0.2638770590162,"SBHT","departure_delay",10.5372434536447,0.849079971691437
"SBIH",3,4302,12.4728033472803,47.4570654061284,0,2.42736780941313,0,0,990,990,9.14440530566395,124.879643801752,0.723545215893575,"SBIH","departure_delay",12.4728033472803,0.838214783821478
"SBIL",5,50660,7.45227003553099,24.6782095562932,0,1.62028720884327,0,0,872,872,6.91037815250912,83.562913497886,0.109643036613274,"SBIL","departure_delay",7.45227003553099,0.860185550730359
"SBIP",4,10113,7.54424997527934,27.9250636879396,0,0.926585094549499,0,0,808,808,7.73402068747834,111.527292456612,0.277686117665574,"SBIP","departure_delay",7.54424997527934,0.87886878275487
"SBIZ",3,19837,8.8312748903564,26.0744318639647,0,2.569781362233,0,0,502,502,6.05087339267178,57.6099900990643,0.185130024109857,"SBIZ","departure_delay",8.8312748903564,0.821495185763976
"SBJF",2,7691,11.2336497204525,33.3098101183997,0,2.53356086461888,0,0,488,488,4.70666920214341,30.109072456475,0.379822555406615,"SBJF","departure_delay",11.2336497204525,0.831881419841373
"SBJP",8,58593,5.84767805027904,25.7231237385661,0,1.24008533333333,0,0,1437,1437,24.2368440775062,1077.34704224935,0.106267591956791,"SBJP","departure_delay",5.84767805027904,0.87988326250576
"SBJR",1,1384,14.4739884393064,28.5280121826197,0,7.27888086642599,0,0,195,195,2.84872047593842,9.50327382655556,0.766837718196564,"SBJR","departure_delay",14.4739884393064,0.751445086705202
"SBJU",4,22252,5.51429085026065,23.0481052772193,0,0.544096168969779,0,0,616,616,9.37195160358722,137.652392687355,0.154507904817158,"SBJU","departure_delay",5.51429085026065,0.902166097429445
"SBJV",6,27199,7.26541416963859,23.5454205526,0,1.55406461100133,0,0,520,520,6.29109924687563,62.4898545042795,0.142767706692199,"SBJV","departure_delay",7.26541416963859,0.860105150924666
"SBKG",6,11768,5.75688307273963,20.8456133848,0,0.633496176720476,0,0,403,403,6.24287094773878,55.4448606953975,0.192160158801377,"SBKG","departure_delay",5.75688307273963,0.890465669612509
"SBKP",8,656937,7.64204938981972,30.9252117486036,0,2.03047087723171,0,0,1440,1440,18.4357371018094,587.526119980601,0.0381549440050026,"SBKP","departure_delay",7.64204938981972,0.860179895484651
"SBLO",7,105294,8.41368928903831,30.4777501021929,0,1.34406904411415,0,0,1430,1430,9.17336268996117,188.931185671001,0.0939249757532985,"SBLO","departure_delay",8.41368928903831,0.861938951887097
"SBMA",5,38689,7.5199927628008,24.039240856382,0,1.8734209931186,0,0,1145,1145,8.60215997046732,192.225326027735,0.12221569913994,"SBMA","departure_delay",7.5199927628008,0.846261211196981
