"arrival" ,"vars" ,"n"     ,"mean_delay"         ,"sd_delay"       ,"median_delay" ,"trimmed_mean_delay" ,"mad_delay" ,"min_delay" ,"max_delay" ,"range_delay" ,"skew_delay"     ,"kurtosis_delay" ,"se_delay"        ,"origin_icao" ,"variable"      ,"rate"               ,"punc"
"SBNF"    ,     6 ,  81162 ,    9.96819080448117 ,109.448871730459 ,             0 ,    3.61829932834875 ,     0      ,          0 ,      14398 ,        14398 ,104.671800940018 ,12516.7355457293 ,0.384180147310762 ,"SBNF"        ,"delay_arrival" ,    9.96819080448117 ,0.800337101434582
"SBNM"    ,     2 ,    820 ,   13.2243107769424  ,35.6337646044905 ,             0 ,    5.578125         ,     0      ,          0 ,        449 ,          449 ,6.25824130188671 ,53.6202458704364 ,1.24438503760489  ,"SBNM"        ,"delay_arrival" ,   13.2243107769424  ,0.766917293233083
"SBNT"    ,     6 ,  99859 ,   13.8900786297391  ,142.091429913362 ,             0 ,    5.34527789254905 ,     0      ,          0 ,      43225 ,        43225 ,282.012956878998 ,85670.22496889   ,0.449649669355713 ,"SBNT"        ,"delay_arrival" ,   13.8900786297391  ,0.75529623879401
"SBOI"    ,     1 ,      1 ,   32                ,NA               ,            32 ,   32                ,     0      ,         32 ,         32 ,            0 ,NA               ,NA               ,NA                ,"SBOI"        ,"delay_arrival" ,   32                ,0
"SBPA"    ,    10 , 546929 ,   15.1853402438069  ,2160.30094294356 ,             0 ,    4.05207555970149 ,     0      ,          0 ,    1578327 ,      1578327 ,727.60964633575  ,531556.123631448 ,2.92111583737451  ,"SBPA"        ,"delay_arrival" ,   15.1853402438069  ,0.785418975443938
"SBPB"    ,     2 ,   1354 ,    9.08288148721921 ,32.9276177251701 ,             0 ,    1.69796708615682 ,     0      ,          0 ,        502 ,          502 ,7.23390678438474 ,70.704243161854  ,0.894851517623461 ,"SBPB"        ,"delay_arrival" ,    9.08288148721921 ,0.852827265685515
"SBPC"    ,     4 ,     25 ,    0                ,0                ,             0 ,    0                ,     0      ,          0 ,          0 ,            0 ,NA               ,NA               ,0                 ,"SBPC"        ,"delay_arrival" ,    0                ,1
"SBPF"    ,     3 ,   5465 ,   12.0360377722104  ,33.8205622083829 ,             0 ,    3.34408861064291 ,     0      ,          0 ,        317 ,          317 ,4.17725731310435 ,19.4695789414517 ,0.457494354869675 ,"SBPF"        ,"delay_arrival" ,   12.0360377722104  ,0.809982655617653
"SBPG"    ,     1 ,    180 ,    5.44242424242424 ,15.4159212580227 ,             0 ,    1.58646616541353 ,     0      ,          0 ,        113 ,          113 ,3.98774914573294 ,18.8544756402459 ,1.14903492895742  ,"SBPG"        ,"delay_arrival" ,    5.44242424242424 ,0.848484848484849
"SBPJ"    ,     6 ,  37183 ,   11.5749301637728  ,121.844108312667 ,             0 ,    4.32948788169245 ,     0      ,          0 ,      14396 ,        14396 ,101.387762660257 ,11297.2787535279 ,0.631876669959432 ,"SBPJ"        ,"delay_arrival" ,   11.5749301637728  ,0.776387139179493
"SBPK"    ,     3 ,   3800 ,    8.7193376368229  ,123.101856980003 ,             0 ,    1.576289021396   ,     0      ,          0 ,       7224 ,         7224 ,56.5791480654884 ,3309.62170332337 ,1.99697581831319  ,"SBPK"        ,"delay_arrival" ,    8.7193376368229  ,0.868930676396295
"SBPL"    ,     6 ,  31810 ,   17.3647289437321  ,150.150730909391 ,             0 ,    3.70538619110736 ,     0      ,          0 ,      14483 ,        14483 ,63.2918395753293 ,5663.66515379509 ,0.841871128835983 ,"SBPL"        ,"delay_arrival" ,   17.3647289437321  ,0.794755615540345
"SBPP"    ,     2 ,    379 ,   11.2920110192837  ,22.8325060777378 ,             2 ,    6.02061855670103 ,     2.9652 ,          0 ,        228 ,          228 ,4.38715397121837 ,28.3399538847882 ,1.172827058075    ,"SBPP"        ,"delay_arrival" ,   11.2920110192837  ,0.78236914600551
"SBPS"    ,     7 ,  75015 ,    7.54759196582145 ,48.0470536802692 ,             0 ,    1.83131046918889 ,     0      ,          0 ,       7193 ,         7193 ,104.214579932322 ,14766.9481715473 ,0.175425492476759 ,"SBPS"        ,"delay_arrival" ,    7.54759196582145 ,0.857085390889419
"SBPV"    ,     6 ,  80942 ,   25.7507060793109  ,281.365379973509 ,             0 ,    5.45250075877382 ,     0      ,          0 ,      44681 ,        44681 ,110.628207686465 ,16574.8262099358 ,0.98897131226111  ,"SBPV"        ,"delay_arrival" ,   25.7507060793109  ,0.757338751932932
"SBQV"    ,     2 ,  17605 ,   18.5960345527277  ,150.880265971395 ,             0 ,    6.6114774291718  ,     0      ,          0 ,      14392 ,        14392 ,69.1989384915371 ,5674.68172871154 ,1.13714128230219  ,"SBQV"        ,"delay_arrival" ,   18.5960345527277  ,0.737028233520784
